,age,gender,transaction,score
0,29,Female,15,Good
1,41,Female,37,Bad
2,29,Female,45,Bad
3,28,Female,24,Bad
4,27,Female,5,Excelent
5,31,Female,30,Bad
6,18,Female,34,Excelent
7,25,Female,22,Bad
8,52,Female,27,Good
9,58,Female,16,Excelent
10,59,Female,26,Good
11,22,Female,31,Bad
12,51,Female,6,Excelent
13,54,Female,31,Good
14,18,Female,9,Bad
15,52,Female,12,Good
16,58,Female,1,Good
17,31,Female,42,Bad
18,45,Female,50,Excelent
19,50,Female,46,Good
20,58,Female,15,Bad
21,19,Female,32,Excelent
22,21,Female,3,Good
23,49,Female,39,Excelent
24,21,Female,37,Bad
25,31,Female,50,Good
26,43,Female,42,Good
27,41,Female,47,Good
28,57,Female,25,Good
29,22,Female,26,Bad
30,25,Female,39,Excelent
31,54,Female,50,Excelent
32,36,Female,32,Bad
33,40,Female,11,Excelent
34,20,Female,43,Bad
35,23,Female,31,Excelent
36,50,Female,13,Good
37,31,Female,0,Bad
38,40,Female,27,Bad
39,22,Female,43,Excelent
40,35,Female,45,Good
41,36,Female,4,Excelent
42,29,Female,48,Good
43,27,Female,28,Excelent
44,53,Female,24,Bad
45,19,Female,40,Bad
46,18,Female,8,Excelent
47,25,Female,15,Good
48,37,Female,22,Good
49,37,Female,36,Bad
50,21,Female,48,Bad
51,48,Female,37,Excelent
52,52,Female,29,Good
53,59,Female,48,Bad
54,42,Female,4,Excelent
55,24,Female,32,Bad
56,56,Female,46,Good
57,23,Female,34,Good
58,45,Female,50,Bad
59,51,Female,0,Good
60,50,Female,5,Good
61,25,Female,43,Excelent
62,56,Female,31,Good
63,47,Female,13,Excelent
64,35,Female,45,Excelent
65,26,Female,13,Excelent
66,24,Female,29,Good
67,24,Female,19,Excelent
68,50,Female,24,Bad
69,21,Female,4,Bad
70,23,Female,10,Excelent
71,34,Female,18,Excelent
72,24,Female,34,Good
73,24,Female,30,Bad
74,20,Female,40,Good
75,42,Female,42,Bad
76,40,Female,21,Good
77,60,Female,44,Excelent
78,58,Female,35,Excelent
79,34,Female,32,Bad
80,37,Female,13,Excelent
81,42,Female,25,Excelent
82,35,Female,8,Good
83,23,Female,14,Excelent
84,53,Female,44,Bad
85,48,Female,50,Excelent
86,34,Female,14,Excelent
87,50,Female,27,Excelent
88,19,Female,30,Good
89,52,Female,38,Bad
90,57,Female,16,Good
91,42,Female,42,Bad
92,50,Female,44,Excelent
93,33,Female,16,Good
94,44,Female,32,Bad
95,43,Female,34,Excelent
96,44,Female,47,Excelent
97,22,Female,48,Good
98,60,Female,17,Good
99,30,Female,44,Bad
